id_genoscope,id_ecofog,projet,sites,sample_type,species
DSW_AACL,IX38,EXPAND,Chutes_Voltaires,Cambium,Dicorynia_guianensis
DSW_AACR,IX44,EXPAND,Chutes_Voltaires,Cambium,Dicorynia_guianensis
DSW_AACS,IX45,EXPAND,Saul,Cambium,Dicorynia_guianensis
DSW_AACW,IX49,EXPAND,Saul,Cambium,Dicorynia_guianensis
DSW_AADB,IX54,EXPAND,Saul,Cambium,Dicorynia_guianensis
DSW_AAAD,IW68,EXPAND,Crique_Tigre,Feuille,Dicorynia_guianensis
DSW_AAAG,IW71,EXPAND,Crique_Tigre,Feuille,Dicorynia_guianensis
DSW_AAAJ,IW74,EXPAND,Crique_Tigre,Feuille,Dicorynia_guianensis
DSW_AAAK,IW75,EXPAND,Maripasoula,Feuille,Dicorynia_guianensis
DSW_AAAN,IW78,EXPAND,Maripasoula,Feuille,Dicorynia_guianensis
DSW_AAAO,IW79,EXPAND,Maripasoula,Feuille,Dicorynia_guianensis
DSW_AAAS,IW83,EXPAND,Maripasoula,Feuille,Dicorynia_guianensis
DSW_AAAU,IW85,EXPAND,Petit_croissant,Feuille,Dicorynia_guianensis
DSW_AAAV,IW86,EXPAND,Petit_croissant,Feuille,Dicorynia_guianensis
DSW_AAAW,IW87,EXPAND,Petit_croissant,Feuille,Dicorynia_guianensis
DSW_AAAX,IW88,EXPAND,Petit_croissant,Feuille,Dicorynia_guianensis
DSW_AAAY,IW89,EXPAND,Petit_croissant,Feuille,Dicorynia_guianensis
DSW_AAAZ,IW90,EXPAND,Petit_croissant,Feuille,Dicorynia_guianensis
DSW_AABA,IW91,EXPAND,Petit_croissant,Feuille,Dicorynia_guianensis
DSW_AABB,IW92,EXPAND,Petit_croissant,Feuille,Dicorynia_guianensis
DSW_AABC,IW93,EXPAND,Petit_croissant,Feuille,Dicorynia_guianensis
DSW_AABD,IW94,EXPAND,Petit_croissant,Feuille,Dicorynia_guianensis
DSW_AABF,IX06,EXPAND,Trinité,Feuille,Dicorynia_guianensis
DSW_AABO,IX15,EXPAND,Saut_Takari,Feuille,Dicorynia_guianensis
DSW_AACA,IX27,EXPAND,Montagne_Fer,Feuille,Dicorynia_guianensis
DSW_AACE,IX31,EXPAND,Montagne_Fer,Feuille,Dicorynia_guianensis
DSW_AACF,IX32,EXPAND,Montagne_Fer,Feuille,Dicorynia_guianensis
DSW_AACH,IX34,EXPAND,Montagne_Fer,Feuille,Dicorynia_guianensis
DSW_AACI,IX35,EXPAND,Chutes_Voltaires,Feuille,Dicorynia_guianensis
DSW_AACJ,IX36,EXPAND,Chutes_Voltaires,Feuille,Dicorynia_guianensis
DSW_AACK,IX37,EXPAND,Chutes_Voltaires,Feuille,Dicorynia_guianensis
DSW_AACM,IX39,EXPAND,Chutes_Voltaires,Feuille,Dicorynia_guianensis
DSW_AACN,IX40,EXPAND,Chutes_Voltaires,Feuille,Dicorynia_guianensis
DSW_AACO,IX41,EXPAND,Chutes_Voltaires,Feuille,Dicorynia_guianensis
DSW_AACP,IX42,EXPAND,Chutes_Voltaires,Feuille,Dicorynia_guianensis
DSW_AACQ,IX43,EXPAND,Chutes_Voltaires,Feuille,Dicorynia_guianensis
DSW_AACT,IX46,EXPAND,Saul,Feuille,Dicorynia_guianensis
DSW_AACU,IX47,EXPAND,Saul,Feuille,Dicorynia_guianensis
DSW_AACV,IX48,EXPAND,Saul,Feuille,Dicorynia_guianensis
DSW_AACX,IX50,EXPAND,Saul,Feuille,Dicorynia_guianensis
DSW_AACY,IX51,EXPAND,Saul,Feuille,Dicorynia_guianensis
DSW_AACZ,IX52,EXPAND,Saul,Feuille,Dicorynia_guianensis
DSW_AADA,IX53,EXPAND,Saul,Feuille,Dicorynia_guianensis
