sample_id,id_ecofog,project,site,sample_type,species,reference_genome,lane,read_group,read1,read2
DBR_AGF,STGE_15,G-MANAGE,Foret_Regina_St_Georges,Cambium,Dicorynia_guianensis,/home/jbonnier/work/chapitre_5/raw_data/reference_genome/nuclear/Dgu_HS1_HYBRID_SCAFFOLD.fa,2,@RG\tID:DBR_AGF\tSM:DBR_AGF\tLB:G-MANAGE\tPL:ILLUMINA,/home/jbonnier/work/chapitre_5/raw_data/ind_dicorynia/G-MANAGE/DBR_AGFOSDA_2_1_HNWVMDSX3.UDI089_clean.fastq.gz,/home/jbonnier/work/chapitre_5/raw_data/ind_dicorynia/G-MANAGE/DBR_AGFOSDA_2_2_HNWVMDSX3.UDI089_clean.fastq.gz
DBR_AEF,STGE_16,G-MANAGE,St_georges,Cambium,Dicorynia_guianensis,/home/jbonnier/work/chapitre_5/raw_data/reference_genome/nuclear/Dgu_HS1_HYBRID_SCAFFOLD.fa,2,@RG\tID:DBR_AEF\tSM:DBR_AEF\tLB:G-MANAGE\tPL:ILLUMINA,/home/jbonnier/work/chapitre_5/raw_data/ind_dicorynia/G-MANAGE/DBR_AEFOSDA_2_1_HNWVMDSX3.UDI061_clean.fastq.gz,/home/jbonnier/work/chapitre_5/raw_data/ind_dicorynia/G-MANAGE/DBR_AEFOSDA_2_2_HNWVMDSX3.UDI061_clean.fastq.gz
DBR_AGN,DB03,Outgroup,Cameroun_Benin,Cambuim,Distemonanthus_benthamianus,/home/jbonnier/work/chapitre_5/raw_data/reference_genome/nuclear/Dgu_HS1_HYBRID_SCAFFOLD.fa,7,@RG\tID:DBR_AGN\tSM:DBR_AGN\tLB:Outgroup\tPL:ILLUMINA,/home/jbonnier/work/chapitre_5/raw_data/outgroups/DBR_AGNOSDA_7_1_22VLJNLT4.UDI175_clean.fastq.gz,/home/jbonnier/work/chapitre_5/raw_data/outgroups/DBR_AGNOSDA_7_2_22VLJNLT4.UDI175_clean.fastq.gz
DBR_AGO,DP01,Outgroup,Herbier,Feuille,Dicorynia_paraensis,/home/jbonnier/work/chapitre_5/raw_data/reference_genome/nuclear/Dgu_HS1_HYBRID_SCAFFOLD.fa,7,@RG\tID:DBR_AGO\tSM:DBR_AGO\tLB:Outgroup\tPL:ILLUMINA,/home/jbonnier/work/chapitre_5/raw_data/outgroups/DBR_AGOOSDA_7_1_22VLJNLT4.UDI176_clean.fastq.gz,/home/jbonnier/work/chapitre_5/raw_data/outgroups/DBR_AGOOSDA_7_2_22VLJNLT4.UDI176_clean.fastq.gz
DBR_AGP,DB01,Outgroup,Cameroun_Benin,Feuille,Distemonanthus_benthamianus,/home/jbonnier/work/chapitre_5/raw_data/reference_genome/nuclear/Dgu_HS1_HYBRID_SCAFFOLD.fa,7,@RG\tID:DBR_AGP\tSM:DBR_AGP\tLB:Outgroup\tPL:ILLUMINA,/home/jbonnier/work/chapitre_5/raw_data/outgroups/DBR_AGPOSDA_7_1_22VLJNLT4.UDI177_clean.fastq.gz,/home/jbonnier/work/chapitre_5/raw_data/outgroups/DBR_AGPOSDA_7_2_22VLJNLT4.UDI177_clean.fastq.gz
DBR_AGQ,DB02,Outgroup,Cameroun_Benin,Feuille,Distemonanthus_benthamianus,/home/jbonnier/work/chapitre_5/raw_data/reference_genome/nuclear/Dgu_HS1_HYBRID_SCAFFOLD.fa,7,@RG\tID:DBR_AGQ\tSM:DBR_AGQ\tLB:Outgroup\tPL:ILLUMINA,/home/jbonnier/work/chapitre_5/raw_data/outgroups/DBR_AGQOSDA_7_1_22VLJNLT4.UDI178_clean.fastq.gz,/home/jbonnier/work/chapitre_5/raw_data/outgroups/DBR_AGQOSDA_7_2_22VLJNLT4.UDI178_clean.fastq.gz
DBR_AGR,DB04,Outgroup,Cameroun_Benin,Cambium,Distemonanthus_benthamianus,/home/jbonnier/work/chapitre_5/raw_data/reference_genome/nuclear/Dgu_HS1_HYBRID_SCAFFOLD.fa,7,@RG\tID:DBR_AGR\tSM:DBR_AGR\tLB:Outgroup\tPL:ILLUMINA,/home/jbonnier/work/chapitre_5/raw_data/outgroups/DBR_AGROSDA_7_1_22VLJNLT4.UDI179_clean.fastq.gz,/home/jbonnier/work/chapitre_5/raw_data/outgroups/DBR_AGROSDA_7_2_22VLJNLT4.UDI179_clean.fastq.gz
DSW_AAAA,IW65,EXPAND,Crique_Tigre,Cambium,Dicorynia_guianensis,/home/jbonnier/work/chapitre_5/raw_data/reference_genome/nuclear/Dgu_HS1_HYBRID_SCAFFOLD.fa,4,@RG\tID:DSW_AAAA\tSM:DSW_AAAA\tLB:EXPAND\tPL:ILLUMINA,/home/jbonnier/work/chapitre_5/raw_data/ind_dicorynia/EXPAND/DSW_AAAAOSDA_4_1_22VLJNLT4.UDI289_clean.fastq.gz,/home/jbonnier/work/chapitre_5/raw_data/ind_dicorynia/EXPAND/DSW_AAAAOSDA_4_2_22VLJNLT4.UDI289_clean.fastq.gz
DSW_AAAB,IW66,EXPAND,Crique_Tigre,Cambium,Dicorynia_guianensis,/home/jbonnier/work/chapitre_5/raw_data/reference_genome/nuclear/Dgu_HS1_HYBRID_SCAFFOLD.fa,4,@RG\tID:DSW_AAAB\tSM:DSW_AAAB\tLB:EXPAND\tPL:ILLUMINA,/home/jbonnier/work/chapitre_5/raw_data/ind_dicorynia/EXPAND/DSW_AAABOSDA_4_1_22VLJNLT4.UDI301_clean.fastq.gz,/home/jbonnier/work/chapitre_5/raw_data/ind_dicorynia/EXPAND/DSW_AAABOSDA_4_2_22VLJNLT4.UDI301_clean.fastq.gz
DSW_AAAC,IW67,EXPAND,Crique_Tigre,Cambium,Dicorynia_guianensis,/home/jbonnier/work/chapitre_5/raw_data/reference_genome/nuclear/Dgu_HS1_HYBRID_SCAFFOLD.fa,4,@RG\tID:DSW_AAAC\tSM:DSW_AAAC\tLB:EXPAND\tPL:ILLUMINA,/home/jbonnier/work/chapitre_5/raw_data/ind_dicorynia/EXPAND/DSW_AAACOSDA_4_1_22VLJNLT4.UDI313_clean.fastq.gz,/home/jbonnier/work/chapitre_5/raw_data/ind_dicorynia/EXPAND/DSW_AAACOSDA_4_2_22VLJNLT4.UDI313_clean.fastq.gz
